id,fighter_name,nickname,birth_date,age,country,height_cm,weight_kg,association,weight_class,wins,losses
/fighter/Sean-Pierson-573,Sean Pierson,The Punisher,10/03/1976,45,Canada,185.42,77.11,Tap Star,Welterweight,14,14
/fighter/Michael-Dulger-225887,Michael Dulger,,,,Russia,0.0,65.77,Lion,Featherweight,4,4
/fighter/Jerome-Mickle-231085,Jerome Mickle,,23/04/1988,33,United States,0.0,75.75,Striking 101,Welterweight,3,3
/fighter/Khamzat-Chimaev-280021,Khamzat Chimaev,Borz,01/05/1994,27,Sweden,187.96,77.11,Allstars Training Center,Welterweight,9,9
/fighter/Jeff-Lentz-42815,Jeff Lentz,,26/02/1989,32,United States,175.26,65.32,Pellegrino MMA,Featherweight,11,11
/fighter/Mike-Rio-54833,Mike Rio,The Wolverine,06/07/1981,40,United States,177.8,70.31,Zen Jiu-Jitsu,Lightweight,10,10
/fighter/Nicco-Montano-138319,Nicco Montano,,16/12/1988,32,United States,165.1,56.7,Fit NHB,Flyweight,4,4
/fighter/Phil-Davis-27802,Phil Davis,Mr. Wonderful,25/09/1984,36,United States,187.96,92.99,Alliance MMA,Light Heavyweight,22,22
/fighter/David-Rivera-252663,David Rivera,,09/11/1991,29,United States,172.72,61.23,Turlock Academy of Martial Arts,Bantamweight,0,0
/fighter/Nathan-Ng-158365,Nathan Ng,Pretty Boy,08/05/1986,35,United States,180.34,65.77,Garage Self Defense,Featherweight,1,1
/fighter/David-Lee-6945,David Lee,,,,England,180.34,65.77,Team Crossface,Featherweight,12,12
/fighter/Josh-Martin-12282,Josh Martin,,03/01/1988,33,United States,177.8,76.2,Gary IronBear Myers,Welterweight,7,7
/fighter/Cristiane-Justino-14477,Cristiane Justino,Cris Cyborg,09/07/1985,36,Brazil,172.72,65.77,Chute Boxe,Featherweight,24,24
/fighter/Ailinuer-Ahejiang-305959,Ailinuer Ahejiang,,,,China,0.0,65.77,,Featherweight,4,4
