id,match_nr,fighter1_url,fighter2_url,results,win_method,win_details,referee,round,time
/events/UFC-on-ESPN-27-Sandhagen-vs-Dillashaw-89119,1,/fighter/Diana-Belbita-174381,/fighter/Hannah-Goldy-204879,win,Decision,Unanimous,Keith Peterson,3,05:00
/events/UFC-on-ESPN-26-Makhachev-vs-Moises-88983,10,/fighter/Islam-Makhachev-76836,/fighter/Thiago-Moises-130351,win," Submission",Rear-Naked Choke," Herb Dean",4," 2:38"
/events/UFC-on-ESPN-26-Makhachev-vs-Moises-88983,9,/fighter/Miesha-Tate-26252,/fighter/Marion-Reneau-61266,win,TKO,Punches,Mark Smith,3,01:53
/events/UFC-on-ESPN-26-Makhachev-vs-Moises-88983,8,/fighter/Mateusz-Gamrot-90605,/fighter/Jeremy-Stephens-12179,win,Submission,Kimura,Mike Beltran,1,01:05
/events/UFC-on-ESPN-26-Makhachev-vs-Moises-88983,7,/fighter/Rodolfo-Vieira-137167,/fighter/Dustin-Stoltzfus-113779,win,Submission,Rear-Naked Choke,Herb Dean,3,01:54
/events/UFC-on-ESPN-26-Makhachev-vs-Moises-88983,6,/fighter/Billy-Quarantillo-68076,/fighter/Gabriel-Benitez-25733,win,TKO,Punches,Mark Smith,3,03:40
/events/UFC-on-ESPN-26-Makhachev-vs-Moises-88983,5,/fighter/Daniel-Rodriguez-145945,/fighter/Preston-Parsons-173219,win,TKO,Punches,Mike Beltran,1,03:47
/events/UFC-on-ESPN-26-Makhachev-vs-Moises-88983,4,/fighter/Amanda-Lemos-173973,/fighter/Montserrat-Ruiz-175799,win,TKO,Punches,Chris Tognoni,1,00:35
/events/UFC-on-ESPN-26-Makhachev-vs-Moises-88983,3,/fighter/Sergey-Morozov-89693,/fighter/Khalid-Taha-117849,win,Decision,Unanimous,Herb Dean,3,05:00
/events/UFC-on-ESPN-26-Makhachev-vs-Moises-88983,2,/fighter/Malcolm-Gordon-113429,/fighter/Francisco-Figueiredo-69484,win,Decision,Unanimous,Mike Beltran,3,05:00
/events/UFC-on-ESPN-26-Makhachev-vs-Moises-88983,1,/fighter/Rodrigo-Nascimento-97975,/fighter/Alan-Baudot-138183,win,TKO,Punches,Chris Tognoni,2,01:29
/events/UFC-264-Poirier-vs-McGregor-3-88969,12,/fighter/Dustin-Poirier-50529,/fighter/Conor-McGregor-29688,win," TKO",Leg Injury," Herb Dean",1," 5:00"
/events/UFC-264-Poirier-vs-McGregor-3-88969,11,/fighter/Gilbert-Burns-91727,/fighter/Stephen-Thompson-59608,win,Decision,Unanimous,Marc Goddard,3,05:00
/events/UFC-264-Poirier-vs-McGregor-3-88969,10,/fighter/Tai-Tuivasa-133745,/fighter/Greg-Hardy-271461,win,KO,Punches,Mark Smith,1,01:07
/events/UFC-264-Poirier-vs-McGregor-3-88969,9,/fighter/Irene-Aldana-148377,/fighter/Yana-Kunitskaya-49412,win,TKO,Punches,Jason Herzog,1,04:35
/events/UFC-264-Poirier-vs-McGregor-3-88969,8,/fighter/Sean-OMalley-135099,/fighter/Kris-Moutinho-126341,win,TKO,Punches,Herb Dean,3,04:33
/events/UFC-264-Poirier-vs-McGregor-3-88969,7,/fighter/Max-Griffin-53904,/fighter/Carlos-Condit-6765,win,Decision,Unanimous,Marc Goddard,3,05:00
/events/UFC-264-Poirier-vs-McGregor-3-88969,6,/fighter/Michel-Pereira-135705,/fighter/Niko-Price-96921,win,Decision,Unanimous,Mark Smith,3,05:00
/events/UFC-264-Poirier-vs-McGregor-3-88969,5,/fighter/Ilia-Topuria-202445,/fighter/Ryan-Hall-15962,win,KO,Punches,Jason Herzog,1,04:47
/events/UFC-264-Poirier-vs-McGregor-3-88969,4,/fighter/Dricus-Du-Plessis-146193,/fighter/Trevin-Giles-111237,win,KO,Punches,Chris Tognoni,2,01:41
/events/UFC-264-Poirier-vs-McGregor-3-88969,3,/fighter/Jennifer-Maia-57135,/fighter/Jessica-Eye-39575,win,Decision,Unanimous,Herb Dean,3,05:00
/events/UFC-264-Poirier-vs-McGregor-3-88969,2,/fighter/Brad-Tavares-33095,/fighter/Omari-Akhmedov-83462,win,Decision,Split,Marc Goddard,3,05:00
/events/UFC-264-Poirier-vs-McGregor-3-88969,1,/fighter/Zhalgas-Zhumagulov-176945,/fighter/Jerome-Rivera-139017,win,Submission,Guillotine Choke,Chris Tognoni,1,02:02
/events/UFC-Fight-Night-190-Gane-vs-Volkov-88824,13,/fighter/Ciryl-Gane-293973,/fighter/Alexander-Volkov-40951,win," Decision",Unanimous," Herb Dean",5," 5:00"
/events/UFC-Fight-Night-190-Gane-vs-Volkov-88824,12,/fighter/Tanner-Boser-114961,/fighter/Ovince-St-Preux-38842,win,KO,Punches,Jason Herzog,2,02:31
